Data Extract Date,WorkOrderKey,Work Order Description,Work Type,Work Criticality,EquipmentRef,Work Order Status,Condition For Work,Status Date,Target Finish Date,Schedule Start Date,Schedule Finish Date,Work Order Priority,Department,Discipline,Work Order Remaining Hours
"Sunday, March 31, 2019",2,Work Order Description - 2 - CM,CM,4.00,657378,WSCHD,NORM-OPS,7/11/2017,12/9/2018,6/29/2019,7/2/2019,4,MAINTENANCE,MECHANICAL,27
"Sunday, March 31, 2019",6,Work Order Description - 6 - CM,CM,4.00,436047,SCHD,NORM-OPS,11/13/2018,8/26/2019,3/9/2019,4/13/2019,4,INTEGRITY,CONSTRUCTION,31
"Sunday, March 31, 2019",8,Work Order Description - 8 - CM,CM,4.00,499836,WSCHD,TPS,6/8/2018,5/14/2019,5/3/2020,5/5/2020,3,MAINTENANCE,MECHANICAL,30
"Sunday, March 31, 2019",12,Work Order Description - 12 - CM,CM,4.00,450548,SCHD,NORM-OPS,11/13/2018,9/18/2019,4/13/2019,4/15/2019,4,ENGINEERING,CONSTRUCTION,49
"Sunday, March 31, 2019",29,Work Order Description - 29 - CM,CM,4.00,497327,WSCHD,NORM-OPS,7/6/2017,12/31/2019,7/13/2019,7/13/2019,2,MAINTENANCE,INSTRUMENTS,6
"Sunday, March 31, 2019",99,Work Order Description - 99 - CM,CM,4.00,247829,WSCHD,TPS,7/17/2017,6/12/2019,5/2/2020,5/3/2020,2,MAINTENANCE,MECHANICAL,26
"Sunday, March 31, 2019",106,Work Order Description - 106 - CM,CM,4.00,327894,WSCHD,TPS,7/17/2017,12/6/2019,5/2/2020,5/3/2020,3,MAINTENANCE,MECHANICAL,17
"Sunday, March 31, 2019",118,Work Order Description - 118 - PSCM,PSCM,1.00,246202,WSCHD,NORM-OPS,10/29/2015,12/27/2020,5/2/2020,5/2/2020,2,INTEGRITY,MECHANICAL,5
"Sunday, March 31, 2019",127,Work Order Description - 127 - CM,CM,4.00,215445,WSCHD,NORM-OPS,4/6/2013,7/1/2019,5/2/2020,5/3/2020,3,MAINTENANCE,SAFETY,19
"Sunday, March 31, 2019",131,Work Order Description - 131 - CM,CM,4.00,326056,WSCHD,TPS,7/17/2017,1/8/2019,12/1/2020,12/1/2020,2,MAINTENANCE,MECHANICAL,9
"Sunday, March 31, 2019",134,Work Order Description - 134 - PSPM,PSPM,1.00,361100,WSCHD,EQUIP-ISOL,10/15/2015,1/1/2022,9/30/2019,9/30/2019,1,INTEGRITY,INSPECTION,1
"Sunday, March 31, 2019",135,Work Order Description - 135 - PSPM,PSPM,1.00,399547,WSCHD,EQUIP-ISOL,10/15/2015,3/29/2020,12/26/2021,12/26/2021,1,INTEGRITY,INSPECTION,1
"Sunday, March 31, 2019",136,Work Order Description - 136 - PSPM,PSPM,1.00,260932,WSCHD,EQUIP-ISOL,10/15/2015,1/1/2020,9/30/2019,9/30/2019,1,INTEGRITY,INSPECTION,0
"Sunday, March 31, 2019",137,Work Order Description - 137 - CM,CM,4.00,408340,SCHD,NORM-OPS,3/31/2019,6/13/2020,3/30/2019,5/5/2019,4,MAINTENANCE,INSTRUMENTS,1
"Sunday, March 31, 2019",138,Work Order Description - 138 - CM,CM,4.00,322142,WSCHD,TPS,8/27/2015,11/16/2019,5/2/2020,5/3/2020,2,MAINTENANCE,MECHANICAL,7
"Sunday, March 31, 2019",139,Work Order Description - 139 - CM,CM,4.00,327971,WSCHD,TPS,11/27/2011,12/17/2019,5/2/2020,5/3/2020,4,MAINTENANCE,MECHANICAL,21
"Sunday, March 31, 2019",140,Work Order Description - 140 - CM,CM,3.00,502857,WSCHD,TPS,8/27/2015,5/1/2019,5/2/2020,5/3/2020,4,MAINTENANCE,MECHANICAL,8
"Sunday, March 31, 2019",141,Work Order Description - 141 - CM,CM,3.00,501333,WSCHD,TPS,8/27/2015,7/22/2019,5/2/2020,5/3/2020,4,MAINTENANCE,MECHANICAL,1
"Sunday, March 31, 2019",142,Work Order Description - 142 - CM,CM,3.00,33545,WPLAN,TPS,7/26/2017,7/27/2019,5/2/2020,5/2/2020,4,MAINTENANCE,MECHANICAL,5
"Sunday, March 31, 2019",143,Work Order Description - 143 - CM,CM,3.00,501028,WPLAN,TPS,7/26/2017,11/13/2019,5/2/2020,5/2/2020,2,MAINTENANCE,MECHANICAL,5
"Sunday, March 31, 2019",147,Work Order Description - 147 - CM,CM,4.00,303827,SCHD,TPS,9/6/2018,12/16/2019,7/13/2019,7/13/2019,2,INTEGRITY,MECHANICAL,30
"Sunday, March 31, 2019",179,Work Order Description - 179 - CM,CM,4.00,321199,WSCHD,SYS-ISOL,7/6/2017,7/1/2019,4/27/2019,5/10/2019,4,INTEGRITY,SERVICES,420
"Sunday, March 31, 2019",184,Work Order Description - 184 - CM,CM,4.00,471166,WSCHD,TPS,6/8/2018,10/19/2019,5/2/2020,3/6/2022,3,MAINTENANCE,MECHANICAL,20
"Sunday, March 31, 2019",186,Work Order Description - 186 - CM,CM,4.00,657423,WPLAN,NORM-OPS,12/11/2017,12/11/2019,6/29/2019,7/1/2019,4,MAINTENANCE,MECHANICAL,20
"Sunday, March 31, 2019",196,Work Order Description - 196 - CM,CM,4.00,472264,SCHD,NORM-OPS,9/6/2018,6/25/2019,5/18/2019,5/18/2019,2,INTEGRITY,SERVICES,57
"Sunday, March 31, 2019",200,Work Order Description - 200 - CM,CM,4.00,527177,SCHD,NORM-OPS,6/21/2018,3/13/2019,7/13/2019,7/18/2019,4,INTEGRITY,CONSTRUCTION,120
"Sunday, March 31, 2019",225,Work Order Description - 225 - CM,CM,4.00,657124,WSCHD,NORM-OPS,9/25/2011,1/27/2019,5/25/2019,5/25/2019,2,MAINTENANCE,INSTRUMENTS,12
"Sunday, March 31, 2019",252,Work Order Description - 252 - PSPM,PSPM,1.00,399837,WSCHD,EQUIP-ISOL,10/15/2015,6/1/2019,9/26/2020,9/26/2020,1,INTEGRITY,INSPECTION,0
"Sunday, March 31, 2019",254,Work Order Description - 254 - CM,CM,3.00,674778,WSCHD,NORM-OPS,7/7/2017,10/6/2019,9/14/2019,9/17/2019,2,MAINTENANCE,MECHANICAL,44
"Sunday, March 31, 2019",258,Work Order Description - 258 - CM,CM,3.00,531852,WSCHD,NORM-OPS,7/8/2017,6/23/2019,9/7/2019,9/8/2019,2,INTEGRITY,MECHANICAL,28
"Sunday, March 31, 2019",259,Work Order Description - 259 - CM,CM,3.00,362499,WSCHD,NORM-OPS,12/2/2011,3/18/2019,3/6/2021,3/9/2021,2,INTEGRITY,MECHANICAL,50
"Sunday, March 31, 2019",261,Work Order Description - 261 - CM,CM,3.00,246202,WSCHD,NORM-OPS,12/6/2011,1/10/2020,3/6/2021,3/7/2021,2,INTEGRITY,MECHANICAL,27
"Sunday, March 31, 2019",266,Work Order Description - 266 - CM,CM,4.00,48057,WSCHD,NORM-OPS,7/21/2017,8/5/2019,11/1/2019,11/1/2019,3,MAINTENANCE,INSTRUMENTS,10
"Sunday, March 31, 2019",270,Work Order Description - 270 - PSPM,PSPM,1.00,19020,WSCHD,TPS,12/15/2011,6/2/2020,5/2/2020,5/3/2020,2,INTEGRITY,INSPECTION,25
"Sunday, March 31, 2019",276,Work Order Description - 276 - CM,CM,4.00,584332,SCHD,TPS,9/6/2018,8/4/2019,7/13/2019,7/13/2019,2,MAINTENANCE,MECHANICAL,20
"Sunday, March 31, 2019",294,Work Order Description - 294 - CM,CM,4.00,497321,SCHD,NORM-OPS,3/24/2019,3/20/2020,4/6/2019,4/7/2019,3,INTEGRITY,FABRIC,63
